Source Image,Source Row,Barangay,Hazard,Susceptibility,Likelihood Score,Flood Depth,Barangay Population,Households,Residential Area (ha),Population Density,Affected Residential Area (ha),Affected Households,Affected Population,Reported Exposure %,Calculated Exposure %,Exposure % Difference,Reported Exposure Score,Calculated Exposure Score,Informal Settlers Count,Informal Settlers %,Informal Settlers Score,Light-material Households Count,Light-material Households %,Light-material Score,Young/Old Dependents Count,Young/Old Dependents %,Young/Old Score,Persons with Disabilities Count,Persons with Disabilities %,PWD Score,Below-poverty Households Count,Below-poverty %,Below-poverty Score,Malnourished Individuals Count,Malnourished %,Malnourished Score,Infrastructure Access %,Infrastructure Access Score,Financial Assistance %,Financial Assistance Score,Retrofit/Relocate Capacity %,Retrofit/Relocate Score,Information Access %,Information Access Score,Government Intervention Capacity,Government Intervention Score,Vulnerability Score,Reported Consequence Score,Calculated Consequence Score,Consequence Difference,Reported Risk Score,Calculated Risk Score,Risk Difference,Calculated Risk Category,Calculated Risk Level,Calculated Land-use Control,OCR Confidence Avg,QA Flags,Source Table
2.svg,18,New San Agustin,Liquefaction,Low,3,,637,123,1528,456,1528,11,37,0.053099999999999994,0.058084772370486655,0.004984772370486661,2,2,0,0,1,6,0.0086,4,15,0.02152,4,0,0,1,8,0.011470000000000001,4,0,0,1,0.2,1,0,4,0.2,1,1,1,Moderate,3,2.25,2.13,2.125,0.004999999999999893,6.38,6.375,0.004999999999999893,Moderate,Tolerable,Discretionary,88.6,,Table 14
2.svg,19,New San Agustin,Liquefaction,Moderate,4,,637,123,1.123,621,,33,229,0.3286,0.35949764521193095,0.030897645211930946,4,4,0,0,1,26,0.0373,4,66,0.09469,4,1,0.0014299999999999998,3,28,0.040170000000000004,4,0,0,1,0.2,1,0,4,0.2,1,1,1,Moderate,3,2.42,3.21,3.21,0,12.83,12.84,0.009999999999999787,High,Intolerable,Restricted,90.6,Exposure % differs from affected population / population by >2 percentage points,Table 14
2.svg,20,New San Agustin,Liquefaction,High,5,,637,123,4.203,166,4.203,148,411,0.5897,0.6452119309262166,0.055511930926216646,4,4,0,0,1,53,0.08464,1,191,0.27403,4,8,0.011470000000000001,4,67,0.09612,4,1,0.0014299999999999998,3,0.2,1,0,4,0.2,1,1,1,Moderate,3,2.67,3.33,3.335,0.004999999999999893,16.67,16.675,0.004999999999999005,High,Intolerable,Restricted,86.2,Exposure % differs from affected population / population by >2 percentage points,Table 14
2.svg,21,Old San Agustin,Liquefaction,Moderate,4,,1846,246,2.488,247,7.105,200,1468,0.7951999999999999,0.7952329360780065,3.29360780065846e-05,4,4,0,0,1,120,0.65,4,324,0.17550999999999997,4,15,0.00812,4,118,0.06392,4,53,0.02871,4,0.1,3,0,4,0.3,1,1,1,Moderate,3,2.95,3.48,3.475,0.004999999999999893,13.9,13.9,0,High,Intolerable,Restricted,90.4,,Table 14
2.svg,22,Old San Agustin,Liquefaction,High,5,,1846,246,7.105,260,7.105,361,1367,0.7404999999999999,0.7405200433369448,2.0043336944830514e-05,4,4,0,0,1,124,0.06717,4,541,0.23306000000000002,,47,0.025459999999999997,4,117,0.06338,4,11,5.95,4,0.1,3,0,4,0.3,1,1,1,Moderate,3,2.95,3.48,3.475,0.004999999999999893,17.38,17.375,0.004999999999999005,High,Intolerable,Restricted,87.8,,Table 14
2.svg,23,Palaypay,Liquefaction,High,5,,1427,251,1.648,866,1.648,117,473,0.3357,0.3314646110721794,0.004235388927820605,4,4,0,0,1,78,0.05466,,193,0.13524,4,,0.0043,4,24,0.016810000000000002,4,0,0,1,0.2,1,0,4,0.6,1,1,1,High,2,2.4,3.2,3.2,0,16,16,0,High,Intolerable,Restricted,90.3,,Table 14
2.svg,24,Panugmonon,Liquefaction,High,5,,636,164,5.731,122,5.731,190,699,1.0014,1.099056603773585,0.09765660377358487,4,4,0,0,1,89,0.1275,4,336,0.48137,4,0,0,1,65,0.03312,4,0,0,1,0.4,1,0,4,0.4,1,1,1,Moderate,3,2.25,3.13,3.125,0.004999999999999893,15.63,15.625,0.005000000000000782,High,Intolerable,Restricted,89.1,Exposure % differs from affected population / population by >2 percentage points,Table 14
2.svg,25,Pelit,Liquefaction,Low,3,,775,176,1.84,421,1.84,68,207,0.2671,0.2670967741935484,3.225806451623292e-06,4,4,0,0,1,41,0.0529,4,116,0.14967,4,3,0.00387,4,41,0.0051600000000000005,4,1,0.00123,3,0.05,4,0,4,0.2,1,1,1,High,2,2.87,3.43,3.435,0.004999999999999893,10.3,10.305,0.004999999999999005,Moderate,Tolerable,Discretionary,88.7,,Table 14
2.svg,26,Pelit,Liquefaction,Moderate,4,,775,176,3.387,194,,150,557,0.7187,0.7187096774193549,9.677419354869876e-06,4,4,0,0,1,58,0.07483,,233,0.30838,,12,0.01548,4,65,0.08387,4,10,0.0129,4,0.05,4,0,4,0.2,1,1,1,High,2,2.95,3.48,3.475,0.004999999999999893,13.9,13.9,0,High,Intolerable,Restricted,88.9,,Table 14
2.svg,27,Roxas,Liquefaction,Moderate,4,,1124,212,11.624,97,11.624,251,410,0.36479999999999996,0.36476868327402134,3.131672597861401e-05,4,4,0,0,1,54,0.04804,,203,0.18059999999999998,4,10,0.00883,4,46,0.04092,4,6,0.0053300000000000005,4,0.2,1,0,4,0.4,1,1,1,Moderate,3,2.75,3.38,3.375,0.004999999999999893,13.5,13.5,0,High,Intolerable,Restricted,88.4,,Table 14
2.svg,28,Roxas,Liquefaction,High,5,,1124,212,8.162,138,8.162,203,589,0.524,0.5240213523131673,2.1352313167244397e-05,4,4,,0,1,65,0.05782,4,243,0.21619,4,13,0.011559999999999999,4,53,0.04715,4,13,0.011559999999999999,4,0.2,1,0,4,0.4,1,1,1,Moderate,3,2.75,3.38,3.375,0.004999999999999893,16.88,16.875,0.004999999999999005,High,Intolerable,Restricted,90.1,,Table 14
2.svg,29,San Antonio,Liquefaction,Low,3,,1561,242,1.984,787,1.984,37,58,0.037200000000000004,0.037155669442664956,4.4330557335048315e-05,1,1,0,0,1,3,0.00192,83,28,0.017929999999999998,4,1,0.00064,2,4,0.00256,4,1,0.00064,2,0.2,1,0,4,0.4,1,1,1,Moderate,3,2.33,1.67,1.665,0.004999999999999893,5,4.995,0.004999999999999893,Low,Tolerable,Controlled/Permitted,88.9,,Table 14
2.svg,30,San Antonio,Liquefaction,Moderate,4,,1651,242,1.621,1019,1.621,1,6,0.0036,0.0036341611144760752,3.416111447607532e-05,1,1,0,0,1,0,0,1,4,0.00256,4,0,0,1,0,0,1,0,0,1,0.2,1,0,4,0.4,1,1,1,Moderate,3,1.75,1.38,1.375,0.004999999999999893,5.5,5.5,0,Moderate,Tolerable,Discretionary,89.8,,Table 14
2.svg,31,San Fernando,Liquefaction,High,5,,1670,310,11.502,145,11.502,338,1071,0.6413,0.641317365269461,1.7365269461055988e-05,4,4,0,0,1,147,0.08802,,506,0.30233,,14,0.00838,4,83,0.00838,4,0,0,1,0.05,4,0,4,0.6,1,1,1,Moderate,3,2.8,3.4,3.4,0,17,17,0,High,Intolerable,Restricted,88.3,,Table 14
3.svg,1,Sawa,Liquefaction,Low,3,,1460,238,0.712,2051,0.712,0,112,,0.07671232876712329,,2,2,0,0,1,2,0.00136,3,27,0.00843,4,1,0.00066,2,10,0.00634,4,0,0,1,0.1,3,0,4,0.3,1,1,1,Moderate,3,2.45,2.23,2.225,0.004999999999999893,6.66,6.675000000000001,0.015000000000000568,Moderate,Tolerable,Discretionary,90.8,Missing core value(s): exposure_percentage,Table 14
3.svg,2,Sawa,Liquefaction,High,5,,1460,238,14.035,104,14.035,373,843,0.5774,0.5773972602739726,2.7397260273787083e-06,4,4,0,0,1,53,0.0363,4,51,0.25821,4,11,0.00753,4,86,0.0583,4,0,0,1,0.1,3,0,4,0.3,1,1,1,Moderate,3,2.7,3.35,3.35,0,16.75,16.75,0,High,Intolerable,Restricted,90.6,,Table 14
3.svg,3,Serum,Liquefaction,High,5,,1036,215,0.344,3186,0.344,25,63,0.0575,0.060810810810810814,0.0033108108108108117,2,2,0,0,1,0,0,1,3,0.0027300000000000002,4,0,0,1,1,0.00031,2,0,0,1,0.6,1,0,4,0.4,1,1,1,Moderate,3,1.83,1.32,1.915,0.595,3.58,9.575,5.994999999999999,Moderate,Tolerable,Discretionary,92.2,Reported consequence score differs from calculated by >0.20; Reported risk score differs from calculated by >0.75,Table 14
3.svg,4,Sugponon,Liquefaction,High,5,,308,76,1.32,160,1.32,83,305,0.33030000000000004,0.9902597402597403,0.6599597402597402,4,4,0,0,1,37,0.12012,4,113,0.36688000000000004,4,4,0.01238,4,27,0.08766,4,6,0.01348,4,0.2,1,0,4,0.02,4,1,1,High,2,2.35,3.48,3.175,0.30500000000000016,17.38,15.875,1.504999999999999,High,Intolerable,Restricted,89,Exposure % differs from affected population / population by >2 percentage points; Reported consequence score differs from calculated by >0.20; Reported risk score differs from calculated by >0.75,Table 14
3.svg,5,Sugca,Liquefaction,High,5,,263,60,1.651,163,1.651,65,244,0.3071,0.9277566539923955,0.6206566539923954,4,4,0,0,1,34,0.12633,4,111,0.41263,4,2,0.00743,4,26,0.03665,4,0,0,1,0.2,1,0,4,0.1,3,1,1,High,2,2.6,3.3,3.3,0,16.5,16.5,0,High,Intolerable,Restricted,94.4,Exposure % differs from affected population / population by >2 percentage points,Table 14
3.svg,6,Tingib,Liquefaction,Moderate,4,,2556,301,2.7,347,2.7,47,31,0.0356,0.012128325508607199,0.0234716744913928,1,1,0,0,1,5,0.0019500000000000001,3,23,0.01035,4,0,0,1,11,0.0043,4,1,0.00033,1,0.05,4,0,4,0.7,1,1,1,Moderate,3,2.47,1.73,1.735,0.0050000000000001155,6.33,6.94,0.6100000000000003,Moderate,Tolerable,Discretionary,93.2,Exposure % differs from affected population / population by >2 percentage points,Table 14
3.svg,7,Tingib,Liquefaction,High,5,,2556,301,3.206,137,3.206,53,134,0.0524,0.05242566510172144,2.5665101721437933e-05,2,2,0,0,1,18,0.007039999999999999,4,32,0.03593,4,6,0.00234,4,16,0.00625,4,3,0.00117,3,0.05,4,0,4,0.7,1,1,1,Moderate,3,2.37,2.48,2.185,0.29499999999999993,12.42,10.925,1.4949999999999992,Moderate,Tolerable,Discretionary,90.5,Reported consequence score differs from calculated by >0.20; Reported risk score differs from calculated by >0.75,Table 14
3.svg,8,Villa Aurora,Liquefaction,Low,3,,1217,276,1.661,133,1.661,237,1214,0.3375,0.9975349219391948,0.6600349219391948,4,4,0,0,1,227,0.18652000000000002,4,538,0.43137000000000003,4,13,0.01068,4,136,0.11175,4,0,0,1,0.3,1,0,4,0.1,3,1,1,Moderate,3,2.7,3.35,3.35,0,10.05,10.05,0,Moderate,Tolerable,Discretionary,90.5,Exposure % differs from affected population / population by >2 percentage points,Table 14
